"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
1022,416.00,264.00,"Walheim, Rex J.","Walheim, Rex J.","M",1962.00,"U.S.","Mil","1996 NASA group",1996.00,2.00,3.00,"MSP",2008.00,"STS-122","STS-122","STS-122","STS-122",306.00,872.51,3.00,22.13,56.73
1023,416.00,264.00,"Walheim, Rex J.","Walheim, Rex J.","M",1962.00,"U.S.","Mil","1996 NASA group",1996.00,3.00,3.00,"MSP",2011.00,"STS-135","STS-135","STS-135","STS-135",306.50,872.51,0.00,0.00,56.73
1024,417.00,265.00,"Morin, Lee M.","Morin, Lee M.","M",1952.00,"U.S.","Mil","NASA- 16",1996.00,1.00,1.00,"MSP",2002.00,"STS-110","STS-110","STS-110","STS-110",259.00,259.00,2.00,14.12,14.12
1025,418.00,4.00,"Vittori, Roverto","Vittori, Roverto","M",1964.00,"Italy","Mil","1998 ESA Group",1998.00,1.00,3.00,"flight engineer",2002.00,"Soyuz TMA-34/TM-33","Soyuz TMA-34","Soyuz TMA-34","Soyuz TMA-33",237.00,851.65,0.00,0.00,0.00
1026,418.00,4.00,"Vittori, Roverto","Vittori, Roverto","M",1964.00,"Italy","Mil","1998 ESA Group",1998.00,2.00,3.00,"flight engineer",2005.00,"Soyuz TMA-6/TMA-5","Soyuz TMA-6","Soyuz TMA-6","Soyuz TMA-5",237.00,851.65,0.00,0.00,0.00
1027,418.00,4.00,"Vittori, Roverto","Vittori, Roverto","M",1964.00,"Italy","Mil","1998 ESA Group",1998.00,3.00,3.00,"MSP",2011.00,"STS-134","STS-134","STS-134","STS-134",377.65,851.65,0.00,0.00,0.00
1028,419.00,1.00,"Shuttleworth, M. Richard","Shuttleworth, M. Richard","M",1973.00,"Republic of South Africa","Civ","Space Tourist 2",2001.00,1.00,1.00,"Other (Space tourist)",2002.00,"Soyuz TM-34 / Soyuz TM-33","Soyuz TM-34","Soyuz TM-34","Soyuz TM-33",237.00,237.00,0.00,0.00,0.00
1029,420.00,266.00,"Lockhart, Paul S.","Lockhart, Paul S.","M",1956.00,"U.S.","Mil","NASA- 16",1996.00,1.00,2.00,"pilot",2002.00,"STS-111","STS-111","STS-111","STS-111",332.00,663.38,0.00,0.00,0.00
1030,420.00,266.00,"Lockhart, Paul S.","Lockhart, Paul S.","M",1956.00,"U.S.","Mil","NASA- 17",1996.00,2.00,2.00,"pilot",2002.00,"STS-113","STS-113","STS-113","STS-113",330.00,663.38,0.00,0.00,0.00
1031,421.00,9.00,"Perrin, Philippe","Perrin, Philippe","M",1963.00,"France","Mil","CNES-3/EAC",1990.00,1.00,1.00,"MSP",2002.00,"STS-111","STS-111","STS-111","STS-111",332.58,332.58,3.00,19.52,19.52
1032,422.00,267.00,"Whitson, Peggy A.","Whitson, Peggy A.","F",1960.00,"U.S.","Civ","1996 NASA group",1996.00,1.00,3.00,"MSP",2002.00,"5","STS-111","ISS","STS-113",4438.00,15982.00,1.00,4.38,60.31
1033,422.00,267.00,"Whitson, Peggy A.","Whitson, Peggy A.","F",1960.00,"U.S.","Civ","1996 NASA group",1996.00,2.00,3.00,"flight engineer",2008.00,"16","Soyuz TMA-11","ISS","Soyuz TMA-11",4603.00,15982.00,5.00,35.35,60.31
1034,422.00,267.00,"Whitson, Peggy A.","Whitson, Peggy A.","F",1960.00,"U.S.","Civ","1996 NASA group",1996.00,3.00,3.00,"flight engineer",2016.00,"50","Soyuz MS-03","ISS","Soyuz MS-04",6941.00,15982.00,4.00,20.58,60.31
1035,423.00,97.00,"Treshchov, Sergei","Сергей Евгеньевич Трещёв","M",1958.00,"U.S.S.R/Russia","Civ","NPOE-10",1992.00,1.00,1.00,"flight engineer",2002.00,"5","STS­111","ISS","STS­113",4438.00,4438.25,1.00,5.35,5.35
1036,424.00,268.00,"Magnus, Sandra H.","Magnus, Sandra H.","F",1964.00,"U.S.","Civ","NASA- 16",1996.00,1.00,3.00,"MSP",2002.00,"STS-112","STS-112","STS-112","STS-112",260.00,3776.00,0.00,0.00,0.00
1037,424.00,268.00,"Magnus, Sandra H.","Magnus, Sandra H.","F",1964.00,"U.S.","Civ","NASA- 16",1996.00,2.00,3.00,"MSP",2008.00,"18","STS-126","ISS","STS-119",3210.00,3776.00,0.00,0.00,0.00
1038,424.00,268.00,"Magnus, Sandra H.","Magnus, Sandra H.","F",1964.00,"U.S.","Civ","NASA- 16",1996.00,3.00,3.00,"MSP",2011.00,"STS-135","STS-135","STS-135","STS-135",306.00,3776.00,0.00,0.00,0.00
1039,425.00,269.00,"Sellers, Piers J.","Sellers, Piers J.","M",1955.00,"U.K./U.S.","Civ","NASA-16",1996.00,1.00,3.00,"MSP",2002.00,"STS-112","STS-112","STS-112","STS-112",259.00,839.00,3.00,19.68,41.17
1040,425.00,269.00,"Sellers, Piers J.","Sellers, Piers J.","M",1955.00,"U.K./U.S.","Civ","NASA-16",1996.00,2.00,3.00,"MSP",2006.00,"STS-121","STS-121","STS-121","STS-121",306.00,839.00,3.00,21.48,41.17
1041,425.00,269.00,"Sellers, Piers J.","Sellers, Piers J.","M",1955.00,"U.K./U.S.","Civ","NASA-16",1996.00,3.00,3.00,"MSP",2010.00,"STS-132","STS-132","STS-132","STS-132",282.50,839.00,0.00,0.00,41.17
1042,426.00,98.00,"Yurchikhin, Fyodor","Фёдор Николаевич Юрчихин","M",1959.00,"U.S.S.R/Russia","Civ","RKKE-14",1997.00,1.00,5.00,"MSP",2002.00,"STS­112","STS­112","STS­112","STS­112",259.00,16147.00,0.00,0.00,59.43
1043,426.00,98.00,"Yurchikhin, Fyodor","Фёдор Николаевич Юрчихин","M",1959.00,"U.S.S.R/Russia","Civ","RKKE-14",1997.00,2.00,5.00,"flight engineer",2007.00,"15","Soyuz TMA­10","ISS","Soyuz TMA­10",4721.00,16147.00,3.00,18.73,59.43
1044,426.00,98.00,"Yurchikhin, Fyodor","Фёдор Николаевич Юрчихин","M",1959.00,"U.S.S.R/Russia","Civ","RKKE-14",1997.00,3.00,5.00,"commander",2010.00,"24","Soyuz TMA­19","ISS","Soyuz TMA­19",3919.00,16147.00,2.00,13.17,59.43
1045,426.00,98.00,"Yurchikhin, Fyodor","Фёдор Николаевич Юрчихин","M",1959.00,"U.S.S.R/Russia","Civ","RKKE-14",1997.00,4.00,5.00,"commander",2013.00,"36","Soyuz TMA­09M","ISS","Soyuz TMA­09M",3990.00,16147.00,2.00,20.03,59.43
1046,426.00,98.00,"Yurchikhin, Fyodor","Фёдор Николаевич Юрчихин","M",1959.00,"U.S.S.R/Russia","Civ","RKKE-14",1997.00,5.00,5.00,"commander",2017.00,"51","Soyuz MS-04","ISS","Soyuz MS-04",3258.00,16147.00,1.00,7.50,59.43
1047,427.00,2.00,"De Winne, Frank","De Winne, Frank","M",1961.00,"Belgium","Mil","EAC",1998.00,1.00,2.00,"commander",2002.00,"Soyuz TMA-1/TM-34","Soyuz TMA-1","Soyuz TMA-1","Soyuz TMA-34",261.00,4769.58,0.00,0.00,0.00
1048,427.00,2.00,"De Winne, Frank","De Winne, Frank","M",1961.00,"Belgium","Mil","EAC",1998.00,2.00,2.00,"commander",2009.00,"20","Soyuz TMA-15","ISS","Soyuz TMA-15",4508.60,4769.58,0.00,0.00,0.00
1049,428.00,270.00,"Herrington, John B.","Herrington, John B.","M",1958.00,"U.S.","Mil","NASA- 16",1996.00,1.00,1.00,"MSP",2002.00,"STS-113","STS-113","STS-113","STS-113",330.00,330.00,3.00,19.92,19.92
1050,429.00,271.00,"Pettit, Donald R.","Pettit, Donald R.","M",1955.00,"U.S.","Civ","NASA-16",1996.00,1.00,3.00,"flight engineer",2002.00,"6","STS-113","ISS","Soyuz TMA-1",3865.00,8872.50,2.00,13.28,13.28
1051,429.00,271.00,"Pettit, Donald R.","Pettit, Donald R.","M",1955.00,"U.S.","Civ","NASA-16",1996.00,2.00,3.00,"MSP",2008.00,"STS-126","STS-126","STS-126","STS-126",380.50,8872.50,0.00,0.00,13.28
1052,429.00,271.00,"Pettit, Donald R.","Pettit, Donald R.","M",1955.00,"U.S.","Civ","NASA-16",1996.00,3.00,3.00,"flight engineer",2011.00,"30","Soyuz TMA-03M","ISS","Soyuz TMA-03M",4627.00,8872.50,0.00,0.00,13.28
1053,430.00,272.00,"McCool, William C.","McCool, William C.","M",1961.00,"U.S.","Mil","NASA- 16",1996.00,1.00,1.00,"pilot",2003.00,"STS-107","STS-107","STS-107","STS-107",382.00,382.00,0.00,0.00,0.00
1054,431.00,273.00,"Brown, David M.","Brown, David M.","M",1956.00,"U.S.","Mil","NASA- 16",1996.00,1.00,1.00,"MSP",2003.00,"STS-107","STS-107","STS-107","STS-107",382.00,382.00,0.00,0.00,0.00
1055,432.00,274.00,"Clark, Laurel B.","Clark, Laurel B.","F",1961.00,"U.S.","Mil","NASA- 16",1996.00,1.00,1.00,"MSP",2003.00,"STS-107","STS-107","STS-107","STS-107",382.00,382.00,0.00,0.00,0.00
1056,433.00,1.00,"Ramon, Ilan","אילן רמון","M",1954.00,"Israel","Mil","1996 NASA Group",1996.00,1.00,1.00,"PSP",2003.00,"STS-107","STS-107","STS-107","Exploded",382.33,382.33,0.00,0.00,0.00
1057,434.00,1.00,"Yang, Liwei","杨利伟","M",1965.00,"China","Mil","China-1",2003.00,1.00,1.00,"commander",2005.00,"Shenzhou 5","Shenzhou 5","Shenzhou 5","Shenzhou 5",21.00,21.00,0.00,0.00,0.00
1058,435.00,275.00,"Fincke, E. Michael","Fincke, E. Michael","M",1967.00,"U.S.","Mil","NASA- 16",1996.00,1.00,3.00,"flight engineer",2004.00,"9","Soyuz TMA-4","ISS","Soyuz TMA-4",4501.00,9159.00,4.00,15.75,48.61
1059,435.00,275.00,"Fincke, E. Michael","Fincke, E. Michael","M",1967.00,"U.S.","Mil","NASA- 16",1996.00,2.00,3.00,"commander",2009.00,"18","Soyuz TMA-13","ISS","Soyuz TMA-13",4280.00,9159.00,2.00,10.45,48.61
1060,435.00,275.00,"Fincke, E. Michael","Fincke, E. Michael","M",1967.00,"U.S.","Mil","NASA- 16",1996.00,3.00,3.00,"MSP",2011.00,"STS-134","STS-134","STS-134","STS-134",378.00,9159.00,3.00,22.42,48.61
1061,436.00,2.00,"Kuipers, Andre","Kuipers, Andre","M",1958.00,"Netherland","Civ","1998 ESA Group",1998.00,1.00,2.00,"flight engineer",2004.00,"Soyuz TMA-4/TMA-3","Soyuz TMA-4","Soyuz TMA-4","Soyuz TMA-3",261.00,4888.00,0.00,0.00,0.00
1062,436.00,2.00,"Kuipers, Andre","Kuipers, Andre","M",1958.00,"Netherland","Civ","1998 ESA Group",1998.00,2.00,2.00,"flight engineer",2012.00,"30","Soyuz TMA-03M","ISS","Soyuz TMA-03M",4627.00,4888.00,0.00,0.00,0.00
1063,437.00,99.00,"Shargin, Yuri","Юрий Георгиевич Шаргин","M",1960.00,"U.S.S.R/Russia","Mil","MKS",1996.00,1.00,1.00,"flight engineer",2004.00,"Soyuz TMA­5","Soyuz TMA­5","Soyuz TMA­5","Soyuz TMA­5",237.00,237.50,0.00,0.00,0.00
1064,438.00,6.00,"Noguchi, Soichi","野口聡一","M",1965.00,"Japan","Civ","NASDA-3",1996.00,1.00,2.00,"MSP",2005.00,"STS-114","STS-114","STS-114","STS-114",333.55,4251.10,3.00,20.08,20.08
1065,438.00,6.00,"Noguchi, Soichi","野口聡一","M",1965.00,"Japan","Civ","NASDA-3",1996.00,2.00,2.00,"flight engineer",2009.00,"22","Soyuz TMA-17","ISS","Soyuz TMA-17",3917.55,4251.10,0.00,0.00,20.08
1066,439.00,276.00,"Camarda, Charles J.","Camarda, Charles J.","M",1952.00,"U.S.","Civ","NASA- 16",1996.00,1.00,1.00,"MSP",2005.00,"STS-114","STS-114","STS-114","STS-114",333.00,333.00,0.00,0.00,0.00
1067,440.00,277.00,"Olsen, Gregory Hammond","Olsen, Gregory Hammond","M",1945.00,"U.S.","Civ",,2004.00,1.00,1.00,"Space tourist",2005.00,"Soyuz TMA-7","Soyuz TMA-7","Soyuz TMA-7","Soyuz TMA-7",237.29,237.29,0.00,0.00,0.00
1068,441.00,2.00,"Fei, Junlong","费俊龙","M",1966.00,"China","Mil","China-1",2005.00,1.00,1.00,"commander",2005.00,"Shenzhou 6","Shenzhou 6","Shenzhou 6","Shenzhou 6",115.00,115.00,0.00,0.00,0.00
1069,442.00,3.00,"Nie Haisheng","聂海胜","M",1964.00,"China","Mil","China-1",2005.00,1.00,2.00,"flight engineer",2005.00,"Shenzhou 6","Shenzhou 6","Shenzhou 6","Shenzhou 6",116.00,466.00,0.00,0.00,0.00
1070,442.00,3.00,"Nie Haisheng","聂海胜","M",1964.00,"China","Mil","China-1",2005.00,2.00,2.00,"commander",2008.00,"Shenzhou 10","Shenzhou 10","Shenzhou 10","Shenzhou 10",350.00,466.00,0.00,0.00,0.00
1071,443.00,1.00,"Pontes, Marcos Cesar","Pontes, Marcos Cesar","M",1963.00,"Brazil","Mil","1998 NASA Group",1998.00,1.00,1.00,"pilot",2006.00,"Soyuz TMA-8","Soyuz TMA-8","Soyuz TMA-8","Soyuz TMA-7",237.28,237.28,0.00,0.00,0.00
1072,444.00,278.00,"Fossum, Michael E.","Fossum, Michael E.","M",1957.00,"U.S.","Civ","NASA- 17",1998.00,1.00,3.00,"MSP",2006.00,"STS-121","STS-121","STS-121","STS-121",307.00,4651.00,3.00,21.48,48.53
1073,444.00,278.00,"Fossum, Michael E.","Fossum, Michael E.","M",1957.00,"U.S.","Civ","NASA- 17",1998.00,2.00,3.00,"MSP",2008.00,"STS-124","STS-124","STS-124","STS-124",330.00,4651.00,3.00,20.53,48.53
1074,444.00,278.00,"Fossum, Michael E.","Fossum, Michael E.","M",1957.00,"U.S.","Civ","NASA- 17",1998.00,3.00,3.00,"commander",2011.00,"28","Soyuz TMA-02M","ISS","Soyuz TMA-02M",4014.00,4651.00,1.00,6.52,48.53
1075,445.00,279.00,"Nowak, Lisa M.","Nowak, Lisa M.","F",1963.00,"U.S.","Mil","NASA-16",1996.00,1.00,1.00,"MSP",2006.00,"STS-121","STS-121","STS-121","STS-121",306.00,306.00,0.00,0.00,0.00
1076,446.00,280.00,"Wilson, Stephanie D.","Wilson, Stephanie D.","F",1966.00,"U.S.","Civ","1996 NASA group",1996.00,1.00,3.00,"MSP",2006.00,"STS-121","STS-121","STS-121","STS-121",306.00,1031.77,0.00,0.00,0.00
1077,446.00,280.00,"Wilson, Stephanie D.","Wilson, Stephanie D.","F",1966.00,"U.S.","Civ","1996 NASA group",1996.00,2.00,3.00,"MSP",2007.00,"STS-120","STS-120","STS-120","STS-120",362.00,1031.77,0.00,0.00,0.00
1078,446.00,280.00,"Wilson, Stephanie D.","Wilson, Stephanie D.","F",1966.00,"U.S.","Civ","1996 NASA group",1996.00,3.00,3.00,"MSP",2010.00,"STS-131","STS-131","STS-131","STS-131",362.00,1031.77,0.00,0.00,0.00
1079,447.00,281.00,"Ferguson, Christopher J.","Ferguson, Christopher J.","M",1961.00,"U.S.","Mil","NASA- 17",1998.00,1.00,3.00,"pilot",2006.00,"STS-115","STS-115","STS-115","STS-115",283.00,672.00,0.00,0.00,0.00
1080,447.00,281.00,"Ferguson, Christopher J.","Ferguson, Christopher J.","M",1961.00,"U.S.","Mil","NASA- 17",1998.00,2.00,3.00,"commander",2008.00,"STS-126","STS-126","STS-126","STS-126",380.50,672.00,0.00,0.00,0.00
1081,447.00,281.00,"Ferguson, Christopher J.","Ferguson, Christopher J.","M",1961.00,"U.S.","Mil","NASA- 17",1998.00,3.00,3.00,"commander",2011.00,"STS-135","STS-135","STS-135","STS-135",306.50,672.00,0.00,0.00,0.00
1082,448.00,282.00,"Stefanyshyn-Piper, Heidemarie M.","Stefanyshyn-Piper, Heidemarie M.","F",1963.00,"U.S.","Mil","1963 NASA group 2",1996.00,1.00,2.00,"MSP",2002.00,"STS-115","STS-115","STS-115","STS-115",288.00,648.00,2.00,13.13,33.70
1083,448.00,282.00,"Stefanyshyn-Piper, Heidemarie M.","Stefanyshyn-Piper, Heidemarie M.","F",1963.00,"U.S.","Mil","1963 NASA group 2",1996.00,2.00,2.00,"MSP",2008.00,"STS-126","STS-126","STS-126","STS-126",360.00,648.00,3.00,20.57,33.70
1084,449.00,283.00,"Ansari, Anousheh","انوشه انصاری","F",1966.00,"U.S.","Civ","N/A",2006.00,1.00,1.00,"Other (space tourist)",2006.00,"Soyuz TMA-9","Soyuz TMA-9","Soyuz TMA-9","Soyuz TMA-8",261.52,261.52,0.00,0.00,0.00
1085,450.00,284.00,"Oefelein, William A.","Oefelein, William A.","M",1965.00,"U.S.","Mil","NASA-17",1998.00,1.00,1.00,"pilot",2006.00,"STS-116","STS-116","STS-116","STS-116",308.00,308.00,0.00,0.00,0.00
1086,451.00,285.00,"Patrick, Nicholas J. M.","Patrick, Nicholas J. M.","M",1964.00,"U.K./U.S.","Civ","NASA-17",1998.00,1.00,2.00,"MSP",2006.00,"STS-116","STS-116","STS-116","STS-116",308.00,638.00,0.00,0.00,18.23
1087,451.00,285.00,"Patrick, Nicholas J. M.","Patrick, Nicholas J. M.","M",1964.00,"U.K./U.S.","Civ","NASA-17",1998.00,2.00,2.00,"MSP",2010.00,"STS-130","STS-130","STS-130","STS-130",330.00,638.00,3.00,18.23,18.23
1088,452.00,1.00,"Christer Fuglesang","Christer Fuglesang","M",1957.00,"Sweden","Civ","1992 ESA Group",1992.00,1.00,2.00,"MSP",2006.00,"STS-116","STS-116","STS-116","STS-116",308.73,641.63,3.00,18.23,31.90
1089,452.00,1.00,"Christer Fuglesang","Christer Fuglesang","M",1957.00,"Sweden","Civ","1992 ESA Group",1992.00,2.00,2.00,"MSP",2009.00,"STS-128","STS-128","STS-128","STS-128",332.90,641.63,2.00,13.67,31.90
1090,453.00,286.00,"Higginbotham, Joan E.","Higginbotham, Joan E.","F",1964.00,"U.S.","Civ","NASA- 16",1996.00,1.00,1.00,"MSP",2006.00,"STS-116","STS-116","STS-116","STS-116",308.00,308.00,0.00,0.00,0.00
1091,454.00,287.00,"Williams, Sunita L.","Williams, Sunita L.","F",1965.00,"U.S.","Mil","1998 NASA group",1998.00,1.00,1.00,"MSP",2006.00,"14","STS-116","ISS","STS-117",4674.00,7722.00,4.00,28.28,50.67
1092,454.00,287.00,"Williams, Sunita L.","Williams, Sunita L.","F",1965.00,"U.S.","Mil","1998 NASA group",1998.00,2.00,2.00,"flight engineer",2012.00,"32","Soyuz TMA-05M","ISS","Soyuz TMA-06M",3048.00,7722.00,3.00,21.38,50.67
1093,455.00,100.00,"Kotov, Oleg","Олег Валериевич Котов","M",1965.00,"U.S.S.R/Russia","Mil","MKS",1996.00,1.00,3.00,"commander",2007.00,"15","Soyuz TMA­10","ISS","Soyuz TMA­10",4721.00,12629.03,2.00,11.05,36.70
1094,455.00,100.00,"Kotov, Oleg","Олег Валериевич Котов","M",1965.00,"U.S.S.R/Russia","Mil","MKS",1996.00,2.00,3.00,"commander",2009.00,"22","Soyuz TMA­17","ISS","Soyuz TMA­17",3917.00,12629.03,1.00,5.73,36.70
1095,455.00,100.00,"Kotov, Oleg","Олег Валериевич Котов","M",1965.00,"U.S.S.R/Russia","Mil","MKS",1996.00,3.00,3.00,"commander",2013.00,"37","Soyuz TMA­10M","ISS","Soyuz TMA­10M",3990.00,12629.03,3.00,19.92,36.70
1096,456.00,288.00,"Simonyi, Charles (Karoly)","Simonyi, Charles (Karoly)","M",1948.00,"U.S.","Civ","N/A",2006.00,1.00,2.00,"Other (space tourist)",2007.00,"Soyuz TMA-10","Soyuz TMA-10","Soyuz TMA-10","Soyuz TMA-10",331.40,638.77,0.00,0.00,0.00
1097,456.00,288.00,"Simonyi, Charles (Karoly)","Simonyi, Charles (Karoly)","M",1948.00,"U.S.","Civ","N/A",2006.00,2.00,2.00,"Other (space tourist)",2009.00,"Soyuz TMA-14","Soyuz TMA-14","Soyuz TMA-14","Soyuz TMA-14",307.85,638.77,0.00,0.00,0.00
1098,457.00,289.00,"Archambault, Lee J.","Archambault, Lee J.","M",1960.00,"U.S.","Mil","NASA- 17",1998.00,1.00,2.00,"pilot",2007.00,"STS-117","STS-117","STS-117","STS-117",332.00,639.50,0.00,0.00,0.00
1099,457.00,289.00,"Archambault, Lee J.","Archambault, Lee J.","M",1960.00,"U.S.","Mil","NASA- 17",1998.00,2.00,2.00,"commander",2009.00,"STS-119","STS-119","STS-119","STS-119",307.50,639.50,0.00,0.00,0.00
1100,458.00,290.00,"Swanson, Steven R.","Swanson, Steven R.","M",1960.00,"U.S.","Civ","1998 NASA group",1998.00,1.00,3.00,"MSP",2007.00,"STS-117","STS-117","STS-117","STS-117",332.22,4646.85,3.00,13.75,27.90
1101,458.00,290.00,"Swanson, Steven R.","Swanson, Steven R.","M",1960.00,"U.S.","Civ","1998 NASA group",1998.00,2.00,3.00,"MSP",2009.00,"STS-119","STS-119","STS-119","STS-119",307.50,4646.85,2.00,12.93,27.90
1102,458.00,290.00,"Swanson, Steven R.","Swanson, Steven R.","M",1960.00,"U.S.","Civ","1998 NASA group",1998.00,3.00,3.00,"flight engineer",2014.00,"39","Soyuz TMA-12M","ISS","Soyuz TMA-12M",4007.13,4646.85,0.00,0.00,27.90
1103,459.00,291.00,"Olivas, John D.","Olivas, John D.","M",1965.00,"U.S.","Civ","NASA-17",1998.00,1.00,2.00,"MSP",2007.00,"STS-117","STS-117","STS-117","STS-117",332.00,668.00,2.00,14.22,34.47
1104,459.00,291.00,"Olivas, John D.","Olivas, John D.","M",1965.00,"U.S.","Civ","NASA-17",1998.00,2.00,2.00,"MSP",2009.00,"STS-128","STS-128","STS-128","STS-128",333.00,668.00,3.00,20.25,34.47
1105,460.00,292.00,"Anderson, Clayton C.","Anderson, Clayton C.","M",1959.00,"U.S.","Civ","NASA- 17",1998.00,1.00,2.00,"flight engineer",2007.00,"15","STS-117","ISS","STS-120",3642.00,4046.00,3.00,18.13,38.46
1106,460.00,292.00,"Anderson, Clayton C.","Anderson, Clayton C.","M",1959.00,"U.S.","Civ","NASA- 17",1998.00,2.00,2.00,"MSP",2010.00,"STS-131","STS-131","STS-131","STS-131",363.00,4046.00,3.00,20.28,38.46
1107,461.00,293.00,"Caldwell, Tracy E.","Caldwell, Tracy E.","F",1969.00,"U.S.","Civ","NASA- 17",1998.00,1.00,2.00,"MSP",2007.00,"STS-118","STS-118","STS-118","STS-118",306.00,4526.00,0.00,0.00,22.81
1108,461.00,293.00,"Caldwell, Tracy E.","Caldwell, Tracy E.","F",1969.00,"U.S.","Civ","NASA- 17",1998.00,2.00,2.00,"flight engineer",2010.00,"23","Soyuz TMA-18","ISS","Soyuz TMA-18",4220.00,4526.00,3.00,22.81,22.81
1109,462.00,294.00,"Drew, Alvin Benjamin","Drew, Alvin B.","M",1962.00,"U.S.","Mil","NASA- 18",2000.00,1.00,2.00,"MSP",2007.00,"STS-118","STS-118","STS-118","STS-118",306.00,613.00,0.00,0.00,12.80
1110,462.00,294.00,"Drew, Alvin Benjamin","Drew, Alvin B.","M",1962.00,"U.S.","Mil","NASA- 18",2000.00,2.00,2.00,"MSP",2011.00,"STS-133","STS-133","STS-133","STS-133",307.00,613.00,2.00,12.80,12.80
1111,463.00,295.00,"Morgan, Barbara R.","Morgan, Barbara R.","F",1951.00,"U.S.","Civ","NASA- 17",1998.00,1.00,1.00,"MSP",2007.00,"STS-118","STS-118","STS-118","STS-118",305.00,305.00,0.00,0.00,0.00
1112,464.00,1.00,"Shukor, Sheikh Muszaphar","Shukor, Sheikh Muszaphar","M",1972.00,"Malysia","Civ","2006 Angkasawan Program",2006.00,1.00,1.00,"Other (space tourist)",2007.00,"Soyuz TMA-11/10","Soyuz TMA-11","Soyuz TMA-11","Soyuz TMA-10",261.23,261.23,0.00,0.00,0.00
1113,465.00,296.00,"Zamka, George D.","Zamka, George D.","M",1962.00,"U.S.","Mil","1998 NASA group",1998.00,1.00,2.00,"pilot",2007.00,"STS-120","STS-120","STS-120","STS-120",362.00,692.53,0.00,0.00,0.00
1114,465.00,296.00,"Zamka, George D.","Zamka, George D.","M",1962.00,"U.S.","Mil","1998 NASA group",1998.00,2.00,2.00,"commander",2010.00,"STS-130","STS-130","STS-130","STS-130",306.10,692.53,0.00,0.00,0.00
1115,466.00,297.00,"Wheelock, Douglas H.","Wheelock, Douglas H.","M",1960.00,"U.S.","Mil","1998 NASA group",1998.00,1.00,2.00,"MSP",2007.00,"STS-120","STS-120","STS-120","STS-120",360.00,4281.57,3.00,20.68,41.50
1116,466.00,297.00,"Wheelock, Douglas H.","Wheelock, Douglas H.","M",1960.00,"U.S.","Mil","1998 NASA group",1998.00,2.00,2.00,"flight engineer",2010.00,"24","Soyuz TMA-19","ISS","Soyuz TMA-19",3912.00,4281.57,3.00,22.82,41.50
1117,467.00,5.00,"Nespoli, Paolo A.","Nespoli, Paolo A.","M",1957.00,"Italy","Mil","1998 ESA Group",1998.00,1.00,3.00,"MSP",2007.00,"STS-120","STS-120","STS-120","STS-120",362.40,7514.61,0.00,0.00,0.00
1118,467.00,5.00,"Nespoli, Paolo A.","Nespoli, Paolo A.","M",1957.00,"Italy","Mil","1998 ESA Group",1998.00,2.00,3.00,"flight engineer",2010.00,"26","Soyuz TMA-20","ISS","Soyuz TMA-20",3823.28,7514.61,0.00,0.00,0.00
1119,467.00,5.00,"Nespoli, Paolo A.","Nespoli, Paolo A.","M",1957.00,"Italy","Mil","1998 ESA Group",1998.00,3.00,3.00,"flight engineer",2017.00,"52","Soyuz MS-05","ISS","Soyuz MS-05",3328.93,7514.61,0.00,0.00,0.00
1120,468.00,298.00,"Poindexter, Alan G.","Poindexter, Alan G.","M",1961.00,"U.S.","Mil","NASA-17",1998.00,1.00,2.00,"pilot",2008.00,"STS-122","STS-122","STS-122","STS-122",306.00,669.00,0.00,0.00,0.00
1121,468.00,298.00,"Poindexter, Alan G.","Poindexter, Alan G.","M",1961.00,"U.S.","Mil","NASA-17",1998.00,2.00,2.00,"commander",2010.00,"STS-131","STS-131","STS-131","STS-131",363.00,669.00,0.00,0.00,0.00
1122,469.00,299.00,"Melvin, Leland D.","Melvin, Leland D.","M",1964.00,"U.S.","Civ","NASA- 17",1998.00,1.00,2.00,"MSP",2008.00,"STS-122","STS-122","STS-122","STS-122",306.00,565.00,0.00,0.00,0.00
1123,469.00,299.00,"Melvin, Leland D.","Melvin, Leland D.","M",1964.00,"U.S.","Civ","NASA- 17",1998.00,2.00,2.00,"MSP",2009.00,"STS-129","STS-129","STS-129","STS-129",259.00,565.00,0.00,0.00,0.00
1124,470.00,300.00,"Love, Stanley G.","Love, Stanley G.","M",1965.00,"U.S.","Civ","NASA- 17",1998.00,1.00,1.00,"MSP",2008.00,"STS-122","STS-122","STS-122","STS-122",306.00,306.00,1.00,15.38,15.38
1125,471.00,301.00,"Johnson, Gregory H.","Johnson, Gregory H.","M",1962.00,"U.S.","Mil","NASA- 17",1998.00,1.00,2.00,"pilot",2008.00,"STS-123","STS-123","STS-123","STS-123",378.00,755.83,0.00,0.00,0.00
1126,471.00,301.00,"Johnson, Gregory H.","Johnson, Gregory H.","M",1962.00,"U.S.","Mil","NASA- 18",1998.00,2.00,2.00,"pilot",2011.00,"STS-134","STS-134","STS-134","STS-134",377.00,755.83,0.00,0.00,0.00
1127,472.00,302.00,"Behnken, Robert L.","Behnken, Robert L.","M",1970.00,"U.S.","Mil","NASA- 18",2000.00,1.00,2.00,"MSP",2008.00,"STS-123","STS-123","STS-123","STS-123",378.00,708.00,3.00,19.32,37.54
