"ID","Number","Nationwide number","Name","Original name","Sex","Year of birth","Nationality","Military/Civilian","Selection","Year of Selection","mission number","total number of missions","Occupation","Year of mission","Mission title","Ascend shuttle","In orbit","Descend shuttle","Hours/mission","Total hrs (sum)","Field21","EVA hrs/mission","Total EVA hrs"
667,288.00,181.00,"Helms, Susan J.","Helms, Susan J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,2.00,5.00,"MSP",1994.00,"STS-64","STS-64","STS-64","STS-64",262.00,5054.00,0.00,0.00,8.93
668,288.00,181.00,"Helms, Susan J.","Helms, Susan J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,3.00,5.00,"MSP",1996.00,"STS-78","STS-78","STS-78","STS-78",405.00,5054.00,0.00,0.00,8.93
669,288.00,181.00,"Helms, Susan J.","Helms, Susan J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,4.00,5.00,"MSP",2000.00,"STS-101","STS-101","STS-101","STS-101",237.00,5054.00,0.00,0.00,8.93
670,288.00,181.00,"Helms, Susan J.","Helms, Susan J.","F",1958.00,"U.S.","Mil","NASA- 13",1990.00,5.00,5.00,"flight engineer",2001.00,"2","STS-102","ISS","STS-105",4007.00,5054.00,1.00,8.93,8.93
671,289.00,75.00,"Poleshchuk, Aleksandr","Александр Федорович Полещук","M",1953.00,"U.S.S.R/Russia","Mil","NPOE-9",1989.00,1.00,1.00,"flight engineer",1993.00,"13","Soyuz TM­16","Mir","Soyuz TM­16",4296.00,4296.72,2.00,9.97,9.97
672,290.00,182.00,"Cockrell, Kenneth D.","Cockrell, Kenneth D.","M",1950.00,"U.S.","Civ","NASA- 13",1990.00,1.00,5.00,"MSP",1993.00,"STS-56","STS-56","STS-56","STS-56",222.00,1560.00,0.00,0.00,0.00
673,290.00,182.00,"Cockrell, Kenneth D.","Cockrell, Kenneth D.","M",1950.00,"U.S.","Civ","NASA- 13",1990.00,2.00,5.00,"pilot",1995.00,"STS-69","STS-69","STS-69","STS-69",260.50,1560.00,0.00,0.00,0.00
674,290.00,182.00,"Cockrell, Kenneth D.","Cockrell, Kenneth D.","M",1950.00,"U.S.","Civ","NASA- 13",1990.00,3.00,5.00,"commander",1996.00,"STS-80","STS-80","STS-80","STS-80",424.00,1560.00,0.00,0.00,0.00
675,290.00,182.00,"Cockrell, Kenneth D.","Cockrell, Kenneth D.","M",1950.00,"U.S.","Civ","NASA- 13",1990.00,4.00,5.00,"commander",2001.00,"STS-98","STS-98","STS-98","STS-98",309.00,1560.00,0.00,0.00,0.00
676,290.00,182.00,"Cockrell, Kenneth D.","Cockrell, Kenneth D.","M",1950.00,"U.S.","Civ","NASA- 13",1990.00,5.00,5.00,"commander",2002.00,"STS-111","STS-111","STS-111","STS-111",333.00,1560.00,0.00,0.00,0.00
677,291.00,183.00,"Ochoa, Ellen","Ochoa, Ellen","F",1958.00,"U.S.","Civ","NASA-13",1990.00,1.00,4.00,"MSP",1993.00,"STS-56","STS-56","STS-56","STS-56",222.00,978.00,0.00,0.00,0.00
678,291.00,183.00,"Ochoa, Ellen","Ochoa, Ellen","F",1958.00,"U.S.","Civ","NASA-13",1990.00,2.00,4.00,"MSP",1994.00,"STS-66","STS-66","STS-66","STS-66",263.00,978.00,0.00,0.00,0.00
679,291.00,183.00,"Ochoa, Ellen","Ochoa, Ellen","F",1958.00,"U.S.","Civ","NASA-13",1990.00,3.00,4.00,"MSP",1999.00,"STS-96","STS-96","STS-96","STS-96",235.00,978.00,0.00,0.00,0.00
680,291.00,183.00,"Ochoa, Ellen","Ochoa, Ellen","F",1958.00,"U.S.","Civ","NASA-13",1990.00,4.00,4.00,"MSP",2002.00,"STS-110","STS-110","STS-110","STS-110",260.00,978.00,0.00,0.00,0.00
681,292.00,184.00,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.","M",1955.00,"U.S.","Mil","NASA-13",1990.00,1.00,4.00,"MSP",1993.00,"STS-55","STS-55","STS-55","STS-55",240.00,932.00,0.00,0.00,0.00
